"chart_id","chart_name","diet_type","health_condition","goal","general_guidance","foods_to_avoid_or_limit","red_flags_and_exclusions","required_approver","source_ids","status"
"DC036","PCOS / PMOS — Non-Veg — Weight loss","Non-Veg","PCOS / PMOS","Weight loss","A sustainable healthy eating pattern matched to preferences, culture and metabolic goals. If weight loss is appropriate, set individualized goals without weight stigma and protect nutrition adequacy. Glucose, lipids, menstrual/reproductive goals, weight trajectory, sleep and mental health.","No single diet composition has proven superior for all PCOS/PMOS outcomes. Do not use pregnancy-unsafe or highly restrictive plans when pregnancy is possible or intended.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/gynecology or endocrinology team","S011","Draft—consultant approval required"
"DC037","Dyslipidemia — Veg — Condition support","Veg","Dyslipidemia","Condition support","Vegetables, fruit, whole grains, pulses, nuts/seeds and unsaturated fats; lean protein as appropriate. Soluble-fiber foods such as oats, barley and pulses when compatible with GI/renal status. LDL, HDL, triglycerides, weight, glucose, thyroid and liver status.","Trans fat, excess saturated fat, processed meats, refined carbohydrate and added sugar. Very high triglycerides require clinician-directed management, not a generic app plan.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S001;S004","Draft—consultant approval required"
"DC038","Dyslipidemia — Veg — Weight loss","Veg","Dyslipidemia","Weight loss","Vegetables, fruit, whole grains, pulses, nuts/seeds and unsaturated fats; lean protein as appropriate. Soluble-fiber foods such as oats, barley and pulses when compatible with GI/renal status. LDL, HDL, triglycerides, weight, glucose, thyroid and liver status.","Trans fat, excess saturated fat, processed meats, refined carbohydrate and added sugar. Very high triglycerides require clinician-directed management, not a generic app plan.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S001;S004","Draft—consultant approval required"
"DC039","Dyslipidemia — Non-Veg — Condition support","Non-Veg","Dyslipidemia","Condition support","Vegetables, fruit, whole grains, pulses, nuts/seeds and unsaturated fats; lean protein as appropriate. Soluble-fiber foods such as oats, barley and pulses when compatible with GI/renal status. LDL, HDL, triglycerides, weight, glucose, thyroid and liver status.","Trans fat, excess saturated fat, processed meats, refined carbohydrate and added sugar. Very high triglycerides require clinician-directed management, not a generic app plan.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S001;S004","Draft—consultant approval required"
"DC040","Dyslipidemia — Non-Veg — Weight loss","Non-Veg","Dyslipidemia","Weight loss","Vegetables, fruit, whole grains, pulses, nuts/seeds and unsaturated fats; lean protein as appropriate. Soluble-fiber foods such as oats, barley and pulses when compatible with GI/renal status. LDL, HDL, triglycerides, weight, glucose, thyroid and liver status.","Trans fat, excess saturated fat, processed meats, refined carbohydrate and added sugar. Very high triglycerides require clinician-directed management, not a generic app plan.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S001;S004","Draft—consultant approval required"
"DC041","Hypothyroidism — Veg — Condition support","Veg","Hypothyroidism","Condition support","Use a generally balanced diet; hypothyroidism does not require a special fad diet. Take levothyroxine consistently according to prescriber instructions, commonly with water on an empty stomach. TSH/FT4, dose changes, pregnancy, symptoms and supplement timing.","Calcium, iron, soy and certain antacids/medicines can affect absorption; use prescriber-specified spacing. Do not recommend kelp, iodine megadoses or thyroid supplements.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Prescribing clinician/dietitian","S015","Draft—consultant approval required"
"DC042","Hypothyroidism — Non-Veg — Condition support","Non-Veg","Hypothyroidism","Condition support","Use a generally balanced diet; hypothyroidism does not require a special fad diet. Take levothyroxine consistently according to prescriber instructions, commonly with water on an empty stomach. TSH/FT4, dose changes, pregnancy, symptoms and supplement timing.","Calcium, iron, soy and certain antacids/medicines can affect absorption; use prescriber-specified spacing. Do not recommend kelp, iodine megadoses or thyroid supplements.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Prescribing clinician/dietitian","S015","Draft—consultant approval required"
"DC043","Iron-deficiency anemia / low iron — Veg — Iron-supportive nutrition","Veg","Iron-deficiency anemia / low iron","Iron-supportive nutrition","Iron-rich foods plus vitamin-C-rich foods; use both plant and animal sources according to preference. CBC, ferritin/iron studies, response, tolerance and cause evaluation.","Food is not a substitute for diagnosing bleeding, malabsorption or other causes and prescribing iron when needed. Tea/coffee and some calcium-rich foods may reduce iron absorption; individualize timing around iron-rich meals/supplements. Do not prescribe iron supplements without dose and cause assessment.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Severe/symptomatic anemia, pregnancy, active bleeding or unclear cause | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Physician/dietitian","S016","Draft—consultant approval required"
"DC044","Iron-deficiency anemia / low iron — Non-Veg — Iron-supportive nutrition","Non-Veg","Iron-deficiency anemia / low iron","Iron-supportive nutrition","Iron-rich foods plus vitamin-C-rich foods; use both plant and animal sources according to preference. CBC, ferritin/iron studies, response, tolerance and cause evaluation.","Food is not a substitute for diagnosing bleeding, malabsorption or other causes and prescribing iron when needed. Tea/coffee and some calcium-rich foods may reduce iron absorption; individualize timing around iron-rich meals/supplements. Do not prescribe iron supplements without dose and cause assessment.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Severe/symptomatic anemia, pregnancy, active bleeding or unclear cause | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Physician/dietitian","S016","Draft—consultant approval required"
"DC045","GERD / reflux — Veg — Symptom support","Veg","GERD / reflux","Symptom support","Smaller meals and a food/symptom diary; keep meals at least 3 hours before lying down if nocturnal symptoms. Symptoms, weight, meal timing, medicines and alarm symptoms.","Only personally identified triggers; common candidates include high-fat foods, alcohol, caffeine, chocolate, mint, spicy and acidic foods. Do not impose a broad lifelong exclusion list without testing individual response. Alarm symptoms require medical evaluation before routine diet advice.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | GI bleeding, dysphagia, persistent vomiting, anemia or unexplained weight loss | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S017","Draft—consultant approval required"
"DC046","GERD / reflux — Veg — Weight loss","Veg","GERD / reflux","Weight loss","Smaller meals and a food/symptom diary; keep meals at least 3 hours before lying down if nocturnal symptoms. Symptoms, weight, meal timing, medicines and alarm symptoms.","Only personally identified triggers; common candidates include high-fat foods, alcohol, caffeine, chocolate, mint, spicy and acidic foods. Do not impose a broad lifelong exclusion list without testing individual response. Alarm symptoms require medical evaluation before routine diet advice.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | GI bleeding, dysphagia, persistent vomiting, anemia or unexplained weight loss | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S017","Draft—consultant approval required"
"DC047","GERD / reflux — Non-Veg — Symptom support","Non-Veg","GERD / reflux","Symptom support","Smaller meals and a food/symptom diary; keep meals at least 3 hours before lying down if nocturnal symptoms. Symptoms, weight, meal timing, medicines and alarm symptoms.","Only personally identified triggers; common candidates include high-fat foods, alcohol, caffeine, chocolate, mint, spicy and acidic foods. Do not impose a broad lifelong exclusion list without testing individual response. Alarm symptoms require medical evaluation before routine diet advice.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | GI bleeding, dysphagia, persistent vomiting, anemia or unexplained weight loss | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S017","Draft—consultant approval required"
"DC048","GERD / reflux — Non-Veg — Weight loss","Non-Veg","GERD / reflux","Weight loss","Smaller meals and a food/symptom diary; keep meals at least 3 hours before lying down if nocturnal symptoms. Symptoms, weight, meal timing, medicines and alarm symptoms.","Only personally identified triggers; common candidates include high-fat foods, alcohol, caffeine, chocolate, mint, spicy and acidic foods. Do not impose a broad lifelong exclusion list without testing individual response. Alarm symptoms require medical evaluation before routine diet advice.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | GI bleeding, dysphagia, persistent vomiting, anemia or unexplained weight loss | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S017","Draft—consultant approval required"
"DC049","Irritable bowel syndrome — Veg — Symptom support","Veg","Irritable bowel syndrome","Symptom support","Regular meals, adequate fluids as appropriate and an individualized symptom diary. Bowel pattern, pain/bloating, weight, nutrition adequacy and food tolerance.","A low-FODMAP trial is temporary, structured and should be supervised with reintroduction. Do not use indefinite broad restriction or diagnose IBS through the app. Bleeding, anemia, unexplained loss, fever or nocturnal/progressive symptoms require medical review.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | GI bleeding, dysphagia, persistent vomiting, anemia or unexplained weight loss | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","GI dietitian/clinician","S018","Draft—consultant approval required"
"DC050","Irritable bowel syndrome — Non-Veg — Symptom support","Non-Veg","Irritable bowel syndrome","Symptom support","Regular meals, adequate fluids as appropriate and an individualized symptom diary. Bowel pattern, pain/bloating, weight, nutrition adequacy and food tolerance.","A low-FODMAP trial is temporary, structured and should be supervised with reintroduction. Do not use indefinite broad restriction or diagnose IBS through the app. Bleeding, anemia, unexplained loss, fever or nocturnal/progressive symptoms require medical review.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | GI bleeding, dysphagia, persistent vomiting, anemia or unexplained weight loss | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","GI dietitian/clinician","S018","Draft—consultant approval required"
